Timestamp,Python_version,Numpy_version,Time
2019-07-11 18:45:19.142136,3.6.8,1.15.4,18.470967
2019-07-11 18:54:27.669572,3.6.8,1.15.4,18.114670
2019-07-11 19:37:53.495000,3.6.8,1.15.4,18.129576
2019-08-05 20:48:40.512867,3.6.8,1.15.4,20.559449
2019-08-05 20:49:49.061856,3.6.8,1.15.4,19.458792
2019-08-05 20:52:31.471037,3.6.8,1.15.4,37.474715
2019-08-05 20:53:10.203686,3.6.8,1.15.4,19.280520
2020-06-30 17:28:48.477297,3.7.4,1.17.4,19.424418
2020-08-13 18:59:10.611696,3.7.4,1.17.4,18.309894
